Sim ss1 & - & - & - & 0.800 & 0.623 & 6.120 & 0.753 & 0.048 & 0.060 & 4.742
Model ss1 & 11.438 & 0.179 & 0.986 & 0.393 & 0.978 & 5.387 & 0.388 & 0.004 & 0.010 & - 
